soil_type,temperature,rainfall,crop
Clay soil,27.3,197,Paddy
Red soil,25.7,117,Groundnut
Alluvial soil,30.7,207,Rice
Black soil,22.7,81,Soybean
Clay soil,28.3,187,Sugarcane
Red soil,18.7,51,Millet
Alluvial soil,20.7,107,Wheat
Black soil,31.7,197,Cotton
Clay soil,24.7,227,Paddy
Red soil,23.7,96,Groundnut
Alluvial soil,34.7,247,Rice
Black soil,25.7,99,Soybean
Clay soil,27.7,159,Sugarcane
Red soil,21.7,87,Millet
Alluvial soil,22.7,127,Wheat
Black soil,28.7,177,Cotton
Clay soil,25.3,219,Paddy
Red soil,24.3,109,Groundnut
Alluvial soil,31.3,219,Rice
Black soil,23.3,90,Soybean
Clay soil,28.9,179,Sugarcane
Red soil,19.3,69,Millet
Alluvial soil,21.3,113,Wheat
Black soil,29.3,189,Cotton
Clay soil,26.3,203,Paddy
Red soil,22.3,101,Groundnut
Alluvial soil,32.3,229,Rice
Black soil,24.3,94,Soybean
Clay soil,29.3,169,Sugarcane
Red soil,20.3,79,Millet
Alluvial soil,23.3,133,Wheat
Black soil,27.3,153,Cotton
Clay soil,27.8,193,Paddy
Red soil,25.3,113,Groundnut
Alluvial soil,30.3,203,Rice
Black soil,22.3,84,Soybean
Clay soil,28.3,183,Sugarcane
Red soil,18.3,53,Millet
Alluvial soil,20.3,103,Wheat
Black soil,30.3,193,Cotton
Clay soil,24.3,223,Paddy
Red soil,23.3,93,Groundnut
Alluvial soil,33.3,233,Rice
Black soil,25.3,96,Soybean
Clay soil,27.3,158,Sugarcane
Red soil,21.3,83,Millet
Alluvial soil,22.3,123,Wheat
Black soil,28.3,173,Cotton
Clay soil,25.8,218,Paddy
Red soil,24.8,108,Groundnut
Alluvial soil,31.8,218,Rice
Black soil,23.8,88,Soybean
Clay soil,28.8,178,Sugarcane
Red soil,19.8,68,Millet
Alluvial soil,21.8,118,Wheat
Black soil,29.8,188,Cotton
Clay soil,26.8,208,Paddy
Red soil,22.8,98,Groundnut
Alluvial soil,32.8,228,Rice
Black soil,24.8,92,Soybean
Clay soil,29.8,168,Sugarcane
Red soil,20.8,78,Millet
Alluvial soil,23.8,138,Wheat
Black soil,27.8,158,Cotton
Clay soil,27.4,198,Paddy
Red soil,25.8,118,Groundnut
Alluvial soil,30.8,208,Rice
Black soil,22.8,82,Soybean
Clay soil,28.4,188,Sugarcane
Red soil,18.8,54,Millet
Alluvial soil,20.8,108,Wheat
Black soil,31.8,198,Cotton
Clay soil,24.8,228,Paddy
Red soil,23.8,98,Groundnut
Alluvial soil,34.8,248,Rice
Black soil,25.8,100,Soybean
Clay soil,27.8,160,Sugarcane
Red soil,21.8,88,Millet 
